Unidade da Federação;População
35 São Paulo;46289333
31 Minas Gerais;21292666
33 Rio de Janeiro;17366189
29 Bahia;14930634
41 Paraná;11516840
43 Rio Grande do Sul;11422973
26 Pernambuco;9616621
23 Ceará;9187103
15 Pará;8690745
42 Santa Catarina;7252502
21 Maranhão;7114598
52 Goiás;7113540
13 Amazonas;4207714
32 Espírito Santo;4064052
25 Paraíba;4039277
24 Rio Grande do Norte;3534165
51 Mato Grosso;3526220
27 Alagoas;3351543
22 Piauí;3281480
53 Distrito Federal;3055149
50 Mato Grosso do Sul;2809394
28 Sergipe;2318822
11 Rondônia;1796460
17 Tocantins;1590248
12 Acre;894470
16 Amapá;861773
14 Roraima;631181
